protein_protein,0
drug_protein,1
contraindication,2
indication,3
off-label use,4
drug_drug,5
phenotype_protein,6
phenotype_phenotype,7
disease_phenotype_negative,8
disease_phenotype_positive,9
disease_protein,10
disease_disease,11
drug_effect,12
bioprocess_bioprocess,13
molfunc_molfunc,14
cellcomp_cellcomp,15
molfunc_protein,16
cellcomp_protein,17
bioprocess_protein,18
exposure_protein,19
exposure_disease,20
exposure_exposure,21
exposure_bioprocess,22
exposure_molfunc,23
exposure_cellcomp,24
pathway_pathway,25
pathway_protein,26
anatomy_anatomy,27
anatomy_protein_present,28
anatomy_protein_absent,29
